date,temp_max,temp_min,rain_mm
2026-05-25,43.2,32.9,0.1
2026-05-26,43.0,32.1,0.0
2026-05-27,43.7,31.5,0.0
2026-05-28,40.7,29.8,1.2
2026-05-29,34.4,26.5,1.1
2026-05-30,35.5,24.2,4.9
2026-05-31,33.2,23.5,0.4
2026-06-01,33.5,25.0,0.7
2026-06-02,36.7,25.2,0.5
2026-06-03,38.5,29.5,0.1
2026-06-04,39.7,26.5,0.8
2026-06-05,34.6,25.2,2.6
2026-06-06,40.0,28.7,0.1
2026-06-07,40.3,29.0,0.6
2026-06-08,41.9,30.1,0.0
2026-06-09,43.2,32.0,0.0
2026-06-10,43.8,31.9,0.4
2026-06-11,36.8,26.8,0.6
2026-06-12,32.5,23.2,6.0
2026-06-13,34.4,25.0,0.2
2026-06-14,37.2,26.2,0.5
2026-06-15,36.6,27.5,0.8
2026-06-16,32.5,26.0,0.2
2026-06-17,37.3,25.0,0.0
2026-06-18,39.2,29.7,0.1
2026-06-19,38.5,28.2,0.0
2026-06-20,38.3,30.8,0.3
2026-06-21,39.1,30.0,0.0
2026-06-22,36.8,28.8,1.3
2026-06-23,39.0,30.3,0.9
2026-06-24,38.2,29.5,1.3
